	Neighborhood_StoneBr	Neighborhood_NoRidge	Neighborhood_NridgHt	GrLivArea	Neighborhood_Mitchel	Neighborhood_Somerst	Neighborhood_Veenker	Neighborhood_Crawfor	Condition1_RRAe	BsmtFinSF1	Neighborhood_BrDale	YearRemodAdd	YearBuilt	OverallQual	Neighborhood_NWAmes	LotArea	BldgType_Twnhs	GarageCars	WoodDeckSF	GarageType_Zero	HouseStyle_SFoyer
0	0	0	0	1710	0	0	0	0	0	706	0	2003	2003	7	0	8450	0	2	0	0	0
1	0	0	0	1262	0	0	1	0	0	978	0	1976	1976	6	0	9600	0	2	298	0	0
2	0	0	0	1786	0	0	0	0	0	486	0	2002	2001	7	0	11250	0	2	0	0	0
3	0	0	0	1717	0	0	0	1	0	216	0	1970	1915	7	0	9550	0	3	0	0	0
4	0	1	0	2198	0	0	0	0	0	655	0	2000	2000	8	0	14260	0	3	192	0	0
5	0	0	0	1362	1	0	0	0	0	732	0	1995	1993	5	0	14115	0	2	40	0	0
6	0	0	0	1694	0	1	0	0	0	1369	0	2005	2004	8	0	10084	0	2	255	0	0
7	0	0	0	2090	0	0	0	0	0	859	0	1973	1973	7	1	10382	0	2	235	0	0
8	0	0	0	1774	0	0	0	0	0	0	0	1950	1931	7	0	6120	0	2	90	0	0
9	0	0	0	1077	0	0	0	0	0	851	0	1950	1939	5	0	7420	0	1	0	0	0
10	0	0	0	1040	0	0	0	0	0	906	0	1965	1965	5	0	11200	0	1	0	0	0
11	0	0	1	2324	0	0	0	0	0	998	0	2006	2005	9	0	11924	0	3	147	0	0
12	0	0	0	912	0	0	0	0	0	737	0	1962	1962	5	0	12968	0	1	140	0	0
13	0	0	0	1494	0	0	0	0	0	0	0	2007	2006	7	0	10652	0	3	160	0	0
14	0	0	0	1253	0	0	0	0	0	733	0	1960	1960	6	0	10920	0	1	0	0	0
15	0	0	0	854	0	0	0	0	0	0	0	2001	1929	7	0	6120	0	2	48	0	0
16	0	0	0	1004	0	0	0	0	0	578	0	1970	1970	6	0	11241	0	2	0	0	0
17	0	0	0	1296	0	0	0	0	0	0	0	1967	1967	4	0	10791	0	2	0	0	0
18	0	0	0	1114	0	0	0	0	1	646	0	2004	2004	5	0	13695	0	2	0	0	0
19	0	0	0	1339	0	0	0	0	0	504	0	1965	1958	5	0	7560	0	1	0	0	0
20	0	0	1	2376	0	0	0	0	0	0	0	2006	2005	8	0	14215	0	3	240	0	0
21	0	0	0	1108	0	0	0	0	0	0	0	1950	1930	7	0	7449	0	1	0	0	0
22	0	0	0	1795	0	0	0	0	0	0	0	2002	2002	8	0	9742	0	2	171	0	0
23	0	0	0	1060	0	0	0	0	0	840	0	1976	1976	5	0	4224	0	2	100	0	0
24	0	0	0	1060	0	0	0	0	0	188	0	2001	1968	5	0	8246	0	1	406	0	0
25	0	0	1	1600	0	0	0	0	0	0	0	2007	2007	8	0	14230	0	3	0	0	0
26	0	0	0	900	0	0	0	0	0	234	0	2000	1951	5	0	7200	0	2	222	0	0
27	0	0	1	1704	0	0	0	0	0	1218	0	2008	2007	8	0	11478	0	3	0	0	0
