	OverallCond	RoofMatl	Exterior1st	Exterior2nd	MasVnrType	ExterQual	ExterCond	Heating	HeatingQC	CentralAir	Electrical	KitchenQual	Functional	Fireplaces	GarageQual	GarageCond	Utilities	SalePrice
0	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	0	4	4	0	208500
1	8	CompShg	MetalSd	MetalSd	None	3	4	GasA	0	1	SBrkr	3	6	1	4	4	0	181500
2	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	223500
3	5	CompShg	Wd Sdng	Wd Shng	None	3	4	GasA	2	1	SBrkr	2	6	1	4	4	0	140000
4	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	250000
5	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	143000
6	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	307000
7	6	CompShg	HdBoard	HdBoard	Stone	3	4	GasA	0	1	SBrkr	3	6	2	4	4	0	200000
8	5	CompShg	BrkFace	Wd Shng	None	3	4	GasA	2	1	FuseF	3	2	2	1	4	0	129900
9	6	CompShg	MetalSd	MetalSd	None	3	4	GasA	0	1	SBrkr	3	6	2	2	4	0	118000
10	5	CompShg	HdBoard	HdBoard	None	3	4	GasA	0	1	SBrkr	3	6	0	4	4	0	129500
11	5	CompShg	WdShing	Wd Shng	Stone	0	4	GasA	0	1	SBrkr	0	6	2	4	4	0	345000
12	6	CompShg	HdBoard	Plywood	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	144000
13	5	CompShg	VinylSd	VinylSd	Stone	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	279500
14	5	CompShg	MetalSd	MetalSd	BrkFace	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	157000
15	8	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	0	1	FuseA	3	6	0	4	4	0	132000
16	7	CompShg	Wd Sdng	Wd Sdng	BrkFace	3	4	GasA	0	1	SBrkr	3	6	1	4	4	0	149000
17	5	CompShg	MetalSd	MetalSd	None	3	4	GasA	4	1	SBrkr	3	6	0	4	4	0	90000
18	5	CompShg	VinylSd	VinylSd	None	3	4	GasA	0	1	SBrkr	2	6	0	4	4	0	159000
19	6	CompShg	BrkFace	Plywood	None	3	4	GasA	4	1	SBrkr	3	2	0	4	4	0	139000
20	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	325300
21	7	CompShg	Wd Sdng	Wd Sdng	None	3	4	GasA	0	1	FuseF	2	6	1	4	4	0	139400
22	5	CompShg	VinylSd	VinylSd	BrkFace	2	4	GasA	0	1	SBrkr	2	6	1	4	4	0	230000
23	7	CompShg	CemntBd	CmentBd	None	3	4	GasA	4	1	SBrkr	3	6	1	4	4	0	129900
